so_hieu,title,effective_date,source_files,combined_text,text_length
23/2003/QH11,"NGHỊ QUYẾT

VỀ NHÀ ĐẤT DO NHÀ NƯỚC ĐÃ QUẢN LÝ, BỐ TRÍ SỬ DỤNG TRONG QUÁ TRÌNH THỰC HIỆN CÁC CHÍNH SÁCH QUẢN LÝ NHÀ ĐẤT VÀ CHÍNH SÁCH CẢI TẠO XÃ HỘI CHỦ NGHĨA TRƯỚC NGÀY 01 THÁNG 7 NĂM 1991",2003-11-26 00:00:00,23.2003.QH11.doc,"QUỐC HỘI
CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc
Số: 23/2003/QH11
Hà Nội, ngày 26 tháng 11 năm 2003
NGHỊ QUYẾT
Về nhà đất do nhà nước đã quản lý, bố trí sử dụng trong quá trình thực hiện các chính sách quản lý nhà đất và chính sách cải tạo Xã hội chủ nghĩa trước ngày 01 tháng 7 năm 1991
QUỐC HỘI NƯỚC CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
Xét thấy, trong sự nghiệp đấu tranh giải phóng dân tộc, tiến hành cách mạng dân tộc dân chủ nhân dân và cách mạng xã hội chủ nghĩa, Nhà nước đã ban hành và tổ chức thực hiện các chính sách về quản lý nhà đất và chính sách cải tạo xã hội chủ nghĩa có liên quan đến nhà đất. Các chính sách này xuất phát từ điều kiện và hoàn cảnh cụ thể của Cách mạng trong từng thời kỳ và mang tính lịch sử, góp phần vào việc thực hiện thắng lợi công cuộc xây dựng và bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa;
Căn cứ vào Hiến pháp nước Cộng hoà xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung theo Nghị quyết số 51/2001/QH10 ngày 25 tháng 12 năm 2001 của Quốc hội khoá X, kỳ họp thứ 10;
Theo Tờ trình số 1516/CP-CN ngày 05 tháng 11 năm 2003 của Chính phủ, Báo cáo thẩm tra của Uỷ ban pháp luật và ý kiến của các vị đại biểu Quốc hội;
QUYẾT NGHỊ
Điều 1: Nhà nước không xem xét lại chủ trương, chính sách và việc thực hiện các chính sách về quản lý nhà đất và chính sách cải tạo xã hội chủ nghĩa liên quan đến nhà đất đã ban hành trước ngày 01 tháng 7 năm 1991.
Nhà nước không thừa nhận việc đòi lại nhà đất mà Nhà nước đã quản lý, bố trí sử dụng trong quá trình thực hiện các chính sách về quản lý nhà đất và chính sách cải tạo xã hội chủ nghĩa liên quan đến nhà đất.
Điều 2: Nhà nước hoàn thành thủ tục pháp lý về sở hữu toàn dân đối với các loại nhà đất mà Nhà nước đã quản lý, bố trí sử dụng trong quá trình thực hiện các chính sách dưới đây:
1. Cải tạo nhà đất cho thuê;
2. Cải tạo công thương nghiệp tư bản tư doanh có liên quan trực tiếp đến nhà đất;
3. Quản lý nhà đất của các tổ chức, cá nhân (diện 2/IV) ở các tỉnh, thành phố phía Nam sau ngày giải phóng (30/4/1975);
4. Quản lý nhà đất vắng chủ;
5. Quản lý nhà đất trong từng thời điểm nhất định và nhà đất của các đoàn hội, tôn giáo;
6. Quản lý nhà đất của những người di tản, chuyển vùng hoặc ra nước ngoài.
Điều 3: Những trường hợp chủ sở hữu có nhà đất mà Nhà nước đã quản lý, bố trí sử dụng trong quá trình thực hiện các chính sách về quản lý nhà đất và chính sách cải tạo xã hội chủ nghĩa liên quan đến nhà đất, nay thực sự có khó khăn về nhà ở thì Nhà nước có chính sách tạo điều kiện để họ cải thiện chỗ ở.
Điều 4: Giao Uỷ ban thường vụ Quốc hội, căn cứ vào Nghị quyết này của Quốc hội và đề nghị của Chính phủ, quy định việc giải quyết đối với một số trường hợp cụ thể, bảo đảm lợi ích của Nhà nước, quyền và lợi ích chính đáng của công dân và phù hợp với điều kiện thực tế của đất nước.
Điều 5: Nghị quyết này có hiệu lực thi hành kể từ ngày 01 tháng 7 năm 2004.
Chính phủ hướng dẫn và chỉ đạo, tổ chức thực hiện thống nhất trong cả nước, bảo đảm hoàn thành việc thực hiện Nghị quyết này trong thời hạn năm năm, kể từ ngày Nghị quyết có hiệu lực thi hành với tinh thần khẩn trương và tiết kiệm.
Mặt trận Tổ quốc Việt Nam và các tổ chức thành viên của Mặt trận tuyên truyền, phổ biến rộng rãi và vận động các tầng lớp nhân dân thực hiện nghiêm chỉnh Nghị quyết của Quốc hội.
